Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,2019,2020,2021,2022,2023
Burkina Faso,BFA,European Investment Bank,919,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,4153827.4,4207461.1,4614179.2,3319588.7,3280321.5
Burkina Faso,BFA,France,004,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,12478276.7,5505313.3,14846418.3,15979972.4,16921280.8
Burkina Faso,BFA,India,646,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2407000,1681000,2547400,3551066.7,3479066.7
Burkina Faso,BFA,International Fund for Agricultural Dev. (IFAD),988,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,4306706.5,4096605.1,4379398,4352398.4,4326839.2
Burkina Faso,BFA,International Monetary Fund                 ,907,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,33443643.9,28823952.6,28344483.4,26320906.2,20486378.7
Burkina Faso,BFA,Islamic Dev. Bank,976,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,17074671.6,20021560.7,25998478.5,25130887.8,24167979.9
Burkina Faso,BFA,Kuwait,552,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,6748766.3,4052549.4,5485417.2,6483440.9,5706102.5
Burkina Faso,BFA,Multiple Lenders,994,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,1942000,2100000,1624666.7,1592666.7,1561666.7
Burkina Faso,BFA,Nordic Development Fund,950,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,307898.2,311621.5,528683.8,525002.5,521321.2
Burkina Faso,BFA,OPEC Fund for International Dev.,951,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,3867000,4151000,8764279.3,7541445.9,5950945.9
Burkina Faso,BFA,Other Multiple Lenders,FCW,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2152000,2002000,324058.8,632117.6,631117.6
Burkina Faso,BFA,Saudi Arabia,566,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2622933.3,1644799.9,2899955.3,3481144.2,3461944.2
Burkina Faso,BFA,Spain,050,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,407545.3,211172.1,453501.1,527945.2,527945.2
Burkina Faso,BFA,United Arab Emirates,576,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,1030088.5,695166.8,743975.5,859700.5,849625.7
